Nome,Preço,Categoria,Avaliação,Número de avaliações,Termômetro,Vendedor
Asus ZenFone 8 ZS590KS Dual SIM 256 GB horizon silver 8 GB RAM,"3.431,12",Celulares e Smartphones,4.0,3.0,5.0,Asus
Oppo Reno7 Dual SIM 128 GB preto 6 GB RAM,2.199,Celulares e Smartphones,4.4,7.0,5.0,PAULOFILISBINOSILVA
Multilaser F Pro 2 Dual SIM 32 GB dourado 1 GB RAM,"573,32",Celulares e Smartphones,4.1,45.0,5.0,AVILE SHOP
Positivo P26 Dual SIM 32 MB preto 32 MB RAM,"120,38",Celulares e Smartphones,4.3,1005.0,4.0,STOPCELL TELEFONIA
 Moto G6 Play Dual SIM 32 GB ouro-fino 3 GB RAM,664,Celulares e Smartphones,4.4,140.0,5.0,TECMODENA
Samsung Galaxy A02 Dual SIM 32 GB azul 2 GB RAM,"791,12",Celulares e Smartphones,4.4,3220.0,5.0,RGS-VENDAS
 Moto G32 128 GB Rosê 4 GB RAM,"1.214,99",Celulares e Smartphones,4.9,143.0,5.0,LOJA IEDAMIYASHIRO
Tecno Camon 19 Neo Dual Sim 128+6 Até 11gb Ram 48mp Nfc,"1.283,64",Celulares e Smartphones,5.0,5.0,5.0,EPCOMERCIOELETRONICODEINFO
Motorola One Zoom Dual SIM 128 GB titanium 4 GB RAM,"1.222,26",Celulares e Smartphones,4.7,23.0,5.0,TECMODENA
Nokia Cseries C01 Plus (Global) Dual SIM 32 GB violeta 1 GB RAM,"492,50",Celulares e Smartphones,4.2,308.0,5.0,COMPRAOKCOMERCIOELETRONIC
Apple iPhone 14 (512 GB) - Roxo,8.499,Celulares e Smartphones,4.8,55.0,5.0,Iplace
 Moto G20 Dual SIM 64 GB pink 4 GB RAM,"1.383,79",Celulares e Smartphones,4.6,2807.0,5.0,SMARTSCAROL
Smartphone Samsung Galaxy A54 5g 256gb 8gb Octa-core Preto,2.179,Celulares e Smartphones,4.8,12.0,5.0,Mercado Livre
Samsung Galaxy M13 Dual SIM 128 GB cobre 4 GB RAM,999,Celulares e Smartphones,4.7,5387.0,5.0,Mercado Livre
Samsung Galaxy A04e Dual SIM 64 GB light blue 3 GB RAM,1.399,Celulares e Smartphones,4.7,1915.0,5.0,Mercado Livre
 Moto E22 Dual SIM 128 GB preto 4 GB RAM,961,Celulares e Smartphones,4.7,1114.0,5.0,Motorola
